Package,LibPath,Version,Priority,Built
abind,C:/Users/kavery/Documents/R/win-library/3.5,1.4-5,NA,3.5.2
arm,C:/Users/kavery/Documents/R/win-library/3.5,1.10-1,NA,3.5.2
assertthat,C:/Users/kavery/Documents/R/win-library/3.5,0.2.0,NA,3.5.2
backports,C:/Users/kavery/Documents/R/win-library/3.5,1.1.3,NA,3.5.2
base64enc,C:/Users/kavery/Documents/R/win-library/3.5,0.1-3,NA,3.5.2
BH,C:/Users/kavery/Documents/R/win-library/3.5,1.69.0-1,NA,3.5.2
bibtex,C:/Users/kavery/Documents/R/win-library/3.5,0.4.2,NA,3.5.2
bindr,C:/Users/kavery/Documents/R/win-library/3.5,0.1.1,NA,3.5.2
bindrcpp,C:/Users/kavery/Documents/R/win-library/3.5,0.2.2,NA,3.5.2
broom,C:/Users/kavery/Documents/R/win-library/3.5,0.5.1,NA,3.5.2
callr,C:/Users/kavery/Documents/R/win-library/3.5,3.1.1,NA,3.5.2
car,C:/Users/kavery/Documents/R/win-library/3.5,3.0-2,NA,3.5.2
carData,C:/Users/kavery/Documents/R/win-library/3.5,3.0-2,NA,3.5.2
cellranger,C:/Users/kavery/Documents/R/win-library/3.5,1.1.0,NA,3.5.2
ciTools,C:/Users/kavery/Documents/R/win-library/3.5,0.5.0,NA,3.5.2
cli,C:/Users/kavery/Documents/R/win-library/3.5,1.0.1,NA,3.5.2
clipr,C:/Users/kavery/Documents/R/win-library/3.5,0.4.1,NA,3.5.2
clisymbols,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
coda,C:/Users/kavery/Documents/R/win-library/3.5,0.19-2,NA,3.5.2
colorspace,C:/Users/kavery/Documents/R/win-library/3.5,1.3-2,NA,3.5.2
crayon,C:/Users/kavery/Documents/R/win-library/3.5,1.3.4,NA,3.5.2
curl,C:/Users/kavery/Documents/R/win-library/3.5,3.2,NA,3.5.2
data.table,C:/Users/kavery/Documents/R/win-library/3.5,1.11.8,NA,3.5.2
DBI,C:/Users/kavery/Documents/R/win-library/3.5,1.0.0,NA,3.5.2
dbplyr,C:/Users/kavery/Documents/R/win-library/3.5,1.2.2,NA,3.5.2
desc,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
digest,C:/Users/kavery/Documents/R/win-library/3.5,0.6.18,NA,3.5.2
doParallel,C:/Users/kavery/Documents/R/win-library/3.5,1.0.14,NA,3.5.2
doRNG,C:/Users/kavery/Documents/R/win-library/3.5,1.7.1,NA,3.5.2
dplyr,C:/Users/kavery/Documents/R/win-library/3.5,0.7.8,NA,3.5.2
evaluate,C:/Users/kavery/Documents/R/win-library/3.5,0.12,NA,3.5.2
fansi,C:/Users/kavery/Documents/R/win-library/3.5,0.4.0,NA,3.5.2
forcats,C:/Users/kavery/Documents/R/win-library/3.5,0.3.0,NA,3.5.2
foreach,C:/Users/kavery/Documents/R/win-library/3.5,1.4.4,NA,3.5.2
fs,C:/Users/kavery/Documents/R/win-library/3.5,1.2.6,NA,3.5.2
future,C:/Users/kavery/Documents/R/win-library/3.5,1.10.0,NA,3.5.2
gbRd,C:/Users/kavery/Documents/R/win-library/3.5,0.4-11,NA,3.5.2
generics,C:/Users/kavery/Documents/R/win-library/3.5,0.0.2,NA,3.5.2
ggplot2,C:/Users/kavery/Documents/R/win-library/3.5,3.1.0,NA,3.5.2
gh,C:/Users/kavery/Documents/R/win-library/3.5,1.0.1,NA,3.5.2
git2r,C:/Users/kavery/Documents/R/win-library/3.5,0.24.0,NA,3.5.2
globals,C:/Users/kavery/Documents/R/win-library/3.5,0.12.4,NA,3.5.2
glue,C:/Users/kavery/Documents/R/win-library/3.5,1.3.0,NA,3.5.2
gridExtra,C:/Users/kavery/Documents/R/win-library/3.5,2.3,NA,3.5.2
gtable,C:/Users/kavery/Documents/R/win-library/3.5,0.2.0,NA,3.5.2
haven,C:/Users/kavery/Documents/R/win-library/3.5,2.0.0,NA,3.5.2
here,C:/Users/kavery/Documents/R/win-library/3.5,0.1,NA,3.5.2
highr,C:/Users/kavery/Documents/R/win-library/3.5,0.7,NA,3.5.2
hms,C:/Users/kavery/Documents/R/win-library/3.5,0.4.2,NA,3.5.2
htmltools,C:/Users/kavery/Documents/R/win-library/3.5,0.3.6,NA,3.5.2
httpuv,C:/Users/kavery/Documents/R/win-library/3.5,1.4.5.1,NA,3.5.2
httr,C:/Users/kavery/Documents/R/win-library/3.5,1.4.0,NA,3.5.2
ini,C:/Users/kavery/Documents/R/win-library/3.5,0.3.1,NA,3.5.2
iterators,C:/Users/kavery/Documents/R/win-library/3.5,1.0.10,NA,3.5.2
jsonlite,C:/Users/kavery/Documents/R/win-library/3.5,1.6,NA,3.5.2
kableExtra,C:/Users/kavery/Documents/R/win-library/3.5,0.9.0,NA,3.5.2
knitr,C:/Users/kavery/Documents/R/win-library/3.5,1.21,NA,3.5.2
labeling,C:/Users/kavery/Documents/R/win-library/3.5,0.3,NA,3.5.2
later,C:/Users/kavery/Documents/R/win-library/3.5,0.7.5,NA,3.5.2
lazyeval,C:/Users/kavery/Documents/R/win-library/3.5,0.2.1,NA,3.5.2
listenv,C:/Users/kavery/Documents/R/win-library/3.5,0.7.0,NA,3.5.2
lme4,C:/Users/kavery/Documents/R/win-library/3.5,1.1-19,NA,3.5.2
lubridate,C:/Users/kavery/Documents/R/win-library/3.5,1.7.4,NA,3.5.2
magrittr,C:/Users/kavery/Documents/R/win-library/3.5,1.5,NA,3.5.2
maptools,C:/Users/kavery/Documents/R/win-library/3.5,0.9-4,NA,3.5.2
markdown,C:/Users/kavery/Documents/R/win-library/3.5,0.9,NA,3.5.2
MatrixModels,C:/Users/kavery/Documents/R/win-library/3.5,0.4-1,NA,3.5.2
metap,C:/Users/kavery/Documents/R/win-library/3.5,1.0,NA,3.5.2
mime,C:/Users/kavery/Documents/R/win-library/3.5,0.6,NA,3.5.2
minqa,C:/Users/kavery/Documents/R/win-library/3.5,1.2.4,NA,3.5.2
modelr,C:/Users/kavery/Documents/R/win-library/3.5,0.1.2,NA,3.5.2
munsell,C:/Users/kavery/Documents/R/win-library/3.5,0.5.0,NA,3.5.2
nloptr,C:/Users/kavery/Documents/R/win-library/3.5,1.2.1,NA,3.5.2
openssl,C:/Users/kavery/Documents/R/win-library/3.5,1.1,NA,3.5.2
openxlsx,C:/Users/kavery/Documents/R/win-library/3.5,4.1.0,NA,3.5.2
pbkrtest,C:/Users/kavery/Documents/R/win-library/3.5,0.4-7,NA,3.5.2
pillar,C:/Users/kavery/Documents/R/win-library/3.5,1.3.1,NA,3.5.2
pkgconfig,C:/Users/kavery/Documents/R/win-library/3.5,2.0.2,NA,3.5.2
pkgmaker,C:/Users/kavery/Documents/R/win-library/3.5,0.27,NA,3.5.2
plogr,C:/Users/kavery/Documents/R/win-library/3.5,0.2.0,NA,3.5.2
plyr,C:/Users/kavery/Documents/R/win-library/3.5,1.8.4,NA,3.5.2
prettyunits,C:/Users/kavery/Documents/R/win-library/3.5,1.0.2,NA,3.5.2
processx,C:/Users/kavery/Documents/R/win-library/3.5,3.2.1,NA,3.5.2
progress,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
promises,C:/Users/kavery/Documents/R/win-library/3.5,1.0.1,NA,3.5.2
ps,C:/Users/kavery/Documents/R/win-library/3.5,1.3.0,NA,3.5.2
purrr,C:/Users/kavery/Documents/R/win-library/3.5,0.2.5,NA,3.5.2
quantreg,C:/Users/kavery/Documents/R/win-library/3.5,5.38,NA,3.5.2
R6,C:/Users/kavery/Documents/R/win-library/3.5,2.3.0,NA,3.5.2
RColorBrewer,C:/Users/kavery/Documents/R/win-library/3.5,1.1-2,NA,3.5.2
Rcpp,C:/Users/kavery/Documents/R/win-library/3.5,1.0.0,NA,3.5.2
RcppEigen,C:/Users/kavery/Documents/R/win-library/3.5,0.3.3.5.0,NA,3.5.2
Rdpack,C:/Users/kavery/Documents/R/win-library/3.5,0.10-1,NA,3.5.2
readr,C:/Users/kavery/Documents/R/win-library/3.5,1.3.1,NA,3.5.2
readxl,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
registry,C:/Users/kavery/Documents/R/win-library/3.5,0.5,NA,3.5.2
rematch,C:/Users/kavery/Documents/R/win-library/3.5,1.0.1,NA,3.5.2
reprex,C:/Users/kavery/Documents/R/win-library/3.5,0.2.1,NA,3.5.2
reshape2,C:/Users/kavery/Documents/R/win-library/3.5,1.4.3,NA,3.5.2
rintrojs,C:/Users/kavery/Documents/R/win-library/3.5,0.2.0,NA,3.5.2
rio,C:/Users/kavery/Documents/R/win-library/3.5,0.5.16,NA,3.5.2
rlang,C:/Users/kavery/Documents/R/win-library/3.5,0.3.0.1,NA,3.5.2
rmarkdown,C:/Users/kavery/Documents/R/win-library/3.5,1.11,NA,3.5.2
rngtools,C:/Users/kavery/Documents/R/win-library/3.5,1.3.1,NA,3.5.2
rprojroot,C:/Users/kavery/Documents/R/win-library/3.5,1.3-2,NA,3.5.2
rstudioapi,C:/Users/kavery/Documents/R/win-library/3.5,0.8,NA,3.5.2
rvest,C:/Users/kavery/Documents/R/win-library/3.5,0.3.2,NA,3.5.2
scales,C:/Users/kavery/Documents/R/win-library/3.5,1.0.0,NA,3.5.2
selectr,C:/Users/kavery/Documents/R/win-library/3.5,0.4-1,NA,3.5.2
shiny,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
shinyjs,C:/Users/kavery/Documents/R/win-library/3.5,1.0,NA,3.5.2
shinythemes,C:/Users/kavery/Documents/R/win-library/3.5,1.1.2,NA,3.5.2
skpr,C:/Users/kavery/Documents/R/win-library/3.5,0.57.0,NA,3.5.2
sourcetools,C:/Users/kavery/Documents/R/win-library/3.5,0.1.7,NA,3.5.2
sp,C:/Users/kavery/Documents/R/win-library/3.5,1.3-1,NA,3.5.2
SparseM,C:/Users/kavery/Documents/R/win-library/3.5,1.77,NA,3.5.2
stringi,C:/Users/kavery/Documents/R/win-library/3.5,1.2.4,NA,3.5.2
stringr,C:/Users/kavery/Documents/R/win-library/3.5,1.3.1,NA,3.5.2
tibble,C:/Users/kavery/Documents/R/win-library/3.5,1.4.2,NA,3.5.2
tidyr,C:/Users/kavery/Documents/R/win-library/3.5,0.8.2,NA,3.5.2
tidyselect,C:/Users/kavery/Documents/R/win-library/3.5,0.2.5,NA,3.5.2
tidyverse,C:/Users/kavery/Documents/R/win-library/3.5,1.2.1,NA,3.5.2
tinytex,C:/Users/kavery/Documents/R/win-library/3.5,0.9,NA,3.5.2
usethis,C:/Users/kavery/Documents/R/win-library/3.5,1.4.0,NA,3.5.2
utf8,C:/Users/kavery/Documents/R/win-library/3.5,1.1.4,NA,3.5.2
viridis,C:/Users/kavery/Documents/R/win-library/3.5,0.5.1,NA,3.5.2
viridisLite,C:/Users/kavery/Documents/R/win-library/3.5,0.3.0,NA,3.5.2
whisker,C:/Users/kavery/Documents/R/win-library/3.5,0.3-2,NA,3.5.2
withr,C:/Users/kavery/Documents/R/win-library/3.5,2.1.2,NA,3.5.2
xfun,C:/Users/kavery/Documents/R/win-library/3.5,0.4,NA,3.5.2
xml2,C:/Users/kavery/Documents/R/win-library/3.5,1.2.0,NA,3.5.2
xtable,C:/Users/kavery/Documents/R/win-library/3.5,1.8-3,NA,3.5.2
yaml,C:/Users/kavery/Documents/R/win-library/3.5,2.2.0,NA,3.5.2
zip,C:/Users/kavery/Documents/R/win-library/3.5,1.0.0,NA,3.5.2
base,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
boot,C:/Program Files/R/R-3.5.2/library,1.3-20,recommended,3.5.2
class,C:/Program Files/R/R-3.5.2/library,7.3-14,recommended,3.5.2
cluster,C:/Program Files/R/R-3.5.2/library,2.0.7-1,recommended,3.5.2
codetools,C:/Program Files/R/R-3.5.2/library,0.2-15,recommended,3.5.2
compiler,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
datasets,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
foreign,C:/Program Files/R/R-3.5.2/library,0.8-71,recommended,3.5.2
graphics,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
grDevices,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
grid,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
KernSmooth,C:/Program Files/R/R-3.5.2/library,2.23-15,recommended,3.5.2
lattice,C:/Program Files/R/R-3.5.2/library,0.20-38,recommended,3.5.2
MASS,C:/Program Files/R/R-3.5.2/library,7.3-51.1,recommended,3.5.2
Matrix,C:/Program Files/R/R-3.5.2/library,1.2-15,recommended,3.5.2
methods,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
mgcv,C:/Program Files/R/R-3.5.2/library,1.8-26,recommended,3.5.2
nlme,C:/Program Files/R/R-3.5.2/library,3.1-137,recommended,3.5.2
nnet,C:/Program Files/R/R-3.5.2/library,7.3-12,recommended,3.5.2
parallel,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
rpart,C:/Program Files/R/R-3.5.2/library,4.1-13,recommended,3.5.2
spatial,C:/Program Files/R/R-3.5.2/library,7.3-11,recommended,3.5.2
splines,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
stats,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
stats4,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
survival,C:/Program Files/R/R-3.5.2/library,2.43-3,recommended,3.5.2
tcltk,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
tools,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
translations,C:/Program Files/R/R-3.5.2/library,3.5.2,NA,3.5.2
utils,C:/Program Files/R/R-3.5.2/library,3.5.2,base,3.5.2
